id,first_name,last_name,bats,throws,weight,height,debut,final_game,birth_year,birth_month,birth_day,birth_city,birth_state,birth_country
5508,Dick,Cox,R,R,158,67,1925-04-16,1926-09-26,1895,9,30,Pasadena,CA,USA
5509,Ernest,Vache,R,R,200,73,1925-04-16,1925-09-22,1889,11,17,"Santa Monica",CA,USA
5510,Harry,Kelley,R,R,170,69,1925-04-16,1939-07-23,1906,2,13,Parkin,AR,USA
5511,Jerry,Standaert,R,R,168,70,1925-04-16,1929-05-30,1901,11,2,Chicago,IL,USA
5512,Roy,Carlyle,L,R,195,74,1925-04-16,1926-09-13,1900,12,10,Buford,GA,USA
5513,Chuck,Dressen,R,R,146,65,1925-04-17,1933-10-01,1894,9,20,Decatur,IL,USA
5514,Hank,Johnson,R,R,175,71,1925-04-17,1939-09-19,1906,5,21,Bradenton,FL,USA
5515,Ken,Ash,R,R,165,71,1925-04-17,1930-09-26,1901,9,16,Anmoore,WV,USA
5516,Lou,Koupal,R,R,175,71,1925-04-17,1937-09-26,1898,12,19,Tabor,SD,USA
5517,Andy,Harrington,R,R,170,71,1925-04-18,1925-04-18,1903,2,12,"Mountain View",CA,USA
5518,"C L",Taylor,R,R,160,69,1925-04-18,1925-05-20,1898,2,9,Burnet,TX,USA
5519,Frank,Ulrich,R,R,195,74,1925-04-18,1927-10-01,1899,11,18,,,Austria
5520,Joe,Giard,L,L,170,70,1925-04-18,1927-09-25,1898,10,7,Ware,MA,USA
5521,John,Bischoff,R,R,165,67,1925-04-18,1926-09-22,1894,10,28,Edwardsville,IL,USA
5522,Oran,"O'Neal",R,R,160,71,1925-04-18,1927-05-27,1899,5,2,Gatewood,MO,USA
5523,Roy,Spencer,R,R,168,70,1925-04-19,1938-05-09,1900,2,22,Scranton,NC,USA
5524,Chet,Falk,L,L,170,74,1925-04-20,1927-06-28,1905,5,15,Austin,TX,USA
5525,George,Blaeholder,R,R,175,71,1925-04-20,1936-09-22,1904,1,26,Orange,CA,USA
5526,Al,Niehaus,R,R,175,71,1925-04-22,1925-09-23,1899,6,1,Cincinnati,OH,USA
5527,Heinie,Odom,B,R,170,72,1925-04-22,1925-04-22,1900,10,13,Rusk,TX,USA
5528,Paul,Wanninger,L,R,150,67,1925-04-22,1927-06-27,1902,12,12,Birmingham,AL,USA
5529,Pip,Koehler,R,R,165,70,1925-04-22,1925-09-12,1902,1,16,Gilbert,PA,USA
5530,Joe,Ogrodowski,R,R,165,71,1925-04-27,1925-04-27,1906,11,20,Hoytville,PA,USA
5531,Brad,Springer,L,L,155,72,1925-05-01,1926-04-23,1904,5,9,Detroit,MI,USA
5532,Elbert,Andrews,L,R,175,72,1925-05-01,1925-06-12,1901,12,11,Greenwood,SC,USA
5533,Jimmie,Foxx,R,R,195,72,1925-05-01,1945-09-23,1907,10,22,Sudlersville,MD,USA
5534,Bud,Connolly,R,R,154,68,1925-05-03,1925-07-28,1901,5,25,"San Francisco",CA,USA
5535,Art,Stokes,R,R,155,70,1925-05-05,1925-07-09,1896,9,13,Emmitsburg,MD,USA
5536,Al,Stokes,R,R,175,69,1925-05-10,1926-09-17,1900,1,1,Chicago,IL,USA
5537,Oscar,Siemer,R,R,162,69,1925-05-20,1926-09-18,1901,8,14,"St. Louis",MO,USA
5538,Mandy,Brooks,R,R,165,69,1925-05-30,1926-06-22,1897,8,18,Milwaukee,WI,USA
5539,Tom,Glass,R,R,170,75,1925-06-12,1925-06-15,1898,4,29,Greensboro,NC,USA
5540,Horace,Kibbie,R,R,150,70,1925-06-13,1925-06-24,1903,7,18,"Fort Worth",TX,USA
5541,Tom,Sullivan,R,R,190,72,1925-06-14,1925-06-14,1906,12,19,Nome,AK,USA
5542,Charlie,Berry,R,R,185,72,1925-06-15,1938-09-08,1902,10,18,Phillipsburg,NJ,USA
5543,Doc,Farrell,R,R,160,68,1925-06-15,1935-05-01,1901,12,26,"Johnson City",NY,USA
5544,Ownie,Carroll,R,R,165,70,1925-06-20,1934-09-21,1902,11,11,Kearny,NJ,USA
5545,Doc,Gautreau,R,R,129,64,1925-06-22,1928-09-29,1901,7,26,Cambridge,MA,USA
5546,Bill,Vargus,L,L,165,72,1925-06-23,1926-06-26,1899,11,11,"North Scituate",MA,USA
5547,Shanty,Hogan,R,R,240,73,1925-06-23,1937-06-13,1906,3,21,Somerville,MA,USA
5548,Gene,Bedford,B,R,170,68,1925-06-25,1925-09-16,1896,12,2,Dallas,TX,USA
5549,Jake,Freeze,R,R,150,68,1925-07-01,1925-07-02,1900,4,25,Huntington,AR,USA
5550,Art,Jahn,R,R,180,72,1925-07-02,1928-09-17,1895,12,2,Struble,IA,USA
5551,Foster,Edwards,R,R,175,75,1925-07-02,1930-05-21,1903,9,1,Holstein,IA,USA
5552,Leo,Tankersley,R,R,176,72,1925-07-02,1925-07-02,1901,6,8,Terrell,TX,USA
5553,Charles,Tolson,R,R,185,72,1925-07-03,1930-08-16,1898,11,6,Washington,DC,USA
5554,Charlie,Caldwell,R,R,180,70,1925-07-07,1925-07-16,1901,8,2,Bristol,VA,USA
5555,Spencer,Pumpelly,,R,175,71,1925-07-11,1925-07-11,1893,4,11,Owego,NY,USA
5556,Hal,Neubauer,R,R,185,72,1925-07-12,1925-09-08,1902,5,13,Hoboken,NJ,USA
5557,Abie,Hood,L,R,152,67,1925-07-13,1925-07-17,1903,1,31,Sanford,NC,USA
5558,Lloyd,Brown,L,L,170,69,1925-07-17,1940-08-10,1904,12,25,Beeville,TX,USA
5559,Jack,Rothrock,B,R,165,71,1925-07-28,1937-10-02,1905,3,14,"Long Beach",CA,USA
5560,Jule,Mallonee,L,R,180,74,1925-08-04,1925-08-23,1900,4,4,Charlotte,NC,USA
5561,Jim,Marquis,R,R,174,71,1925-08-08,1925-08-11,1900,11,18,Yoakum,TX,USA
5562,Ollie,Klee,L,L,160,69,1925-08-10,1925-08-26,1900,5,20,Piqua,OH,USA
5563,Freddie,Fitzsimmons,R,R,185,71,1925-08-12,1943-07-16,1901,7,28,Mishawaka,IN,USA
5564,Earl,Webb,L,R,185,73,1925-08-13,1933-10-01,1897,9,17,"White County",TN,USA
5565,Mule,Haas,L,R,175,73,1925-08-15,1938-09-01,1903,10,15,Montclair,NJ,USA
5566,Guy,Cantrell,R,R,190,72,1925-08-18,1930-09-28,1904,4,9,Clarita,OK,USA
5567,Johnny,Hodapp,R,R,185,72,1925-08-19,1933-09-23,1905,9,26,Cincinnati,OH,USA
5568,Roy,Luebbe,B,R,175,72,1925-08-22,1925-09-19,1900,9,17,Parkersburg,IA,USA
5569,Win,Ballou,R,R,170,70,1925-08-24,1929-09-15,1897,11,30,"Mount Morgan",KY,USA
5570,Jumbo,Brown,R,R,295,76,1925-08-26,1941-08-27,1907,4,30,Greene,RI,USA
5571,John,Kane,B,R,162,70,1925-09-03,1925-09-18,1900,2,19,Chicago,IL,USA
5572,Fresco,Thompson,R,R,150,68,1925-09-05,1934-04-22,1902,6,6,Centreville,AL,USA
5573,Red,Holt,L,L,175,71,1925-09-05,1925-10-03,1894,7,25,Dayton,TN,USA
5574,Jim,Keesey,R,R,170,72,1925-09-06,1930-06-25,1902,10,27,Perryville,MO,USA
5575,Ike,Eichrodt,R,R,167,71,1925-09-07,1931-06-23,1903,1,6,Chicago,IL,USA
5576,Mark,Koenig,B,R,180,72,1925-09-08,1936-09-27,1904,7,19,"San Francisco",CA,USA
5577,Simon,Rosenthal,L,L,165,69,1925-09-08,1926-09-26,1903,11,13,Boston,MA,USA
5578,Bill,Anderson,R,L,165,73,1925-09-10,1925-09-17,1895,11,28,Boston,MA,USA
5579,George,Durning,R,R,175,71,1925-09-12,1925-09-26,1898,5,9,Philadelphia,PA,USA
5580,Dutch,Ussat,R,R,170,73,1925-09-13,1927-10-02,1904,4,11,Dayton,OH,USA
5581,Charlie,Engle,R,R,145,68,1925-09-14,1930-09-27,1903,8,27,"New York",NY,USA
5582,Herb,Welch,L,R,154,66,1925-09-15,1925-10-01,1898,10,19,"Ro Ellen",TN,USA
5583,Tom,Jenkins,L,R,174,73,1925-09-15,1932-06-26,1898,4,10,Camden,AL,USA
5584,Alex,Metzler,L,R,167,69,1925-09-16,1930-09-28,1903,1,4,Fresno,CA,USA
5585,Bob,Osborn,R,R,175,73,1925-09-16,1931-09-24,1903,4,17,"San Diego",TX,USA
5586,Gale,Staley,L,R,167,68,1925-09-16,1925-10-02,1899,5,2,"De Pere",WI,USA
5587,Mel,Kerr,L,L,155,71,1925-09-16,1925-09-16,1903,5,22,Souris,MB,CAN
5588,Claude,Willoughby,R,R,165,69,1925-09-18,1931-05-28,1898,11,14,Buffalo,KS,USA
5589,Joe,Munson,L,R,184,69,1925-09-18,1926-06-04,1899,11,6,Renovo,PA,USA
5590,Chuck,Corgan,B,R,180,71,1925-09-19,1927-10-01,1902,12,4,Wagoner,OK,USA
5591,Frank,McGee,R,R,175,71,1925-09-19,1925-09-30,1899,4,29,Columbus,OH,USA
5592,Hugh,McMullen,B,R,180,73,1925-09-19,1929-04-20,1901,12,16,"La Cygne",KS,USA
5593,Roy,Hutson,L,R,165,69,1925-09-20,1925-10-01,1902,2,27,Luray,MO,USA
5594,Bob,Adams,R,R,168,71,1925-09-22,1925-09-23,1901,7,24,Holyoke,MA,USA
5595,Mike,Herrera,R,R,147,66,1925-09-22,1926-09-22,1892,12,19,"La Habana","La Habana",Cuba
5596,Carl,Husta,R,R,176,71,1925-09-24,1925-10-03,1902,4,8,"Egg Harbor City",NJ,USA
5597,Jack,Warner,R,R,165,69,1925-09-24,1933-09-30,1903,8,29,Evansville,IN,USA
5598,Buddy,Myer,L,R,163,70,1925-09-26,1941-09-24,1904,3,16,Ellisville,MS,USA
5599,Frank,McCrea,R,R,155,69,1925-09-26,1925-09-26,1896,9,6,"Jersey City",NJ,USA
5600,Lefty,Thomas,L,L,183,72,1925-09-26,1926-09-26,1903,10,4,"Glade Springs",VA,USA
5601,Ray,Benge,R,R,160,69,1925-09-26,1938-06-02,1902,4,22,Jacksonville,TX,USA
5602,Al,Moore,R,R,174,70,1925-09-27,1926-09-24,1902,8,4,Brooklyn,NY,USA
5603,Jim,Lyle,R,R,180,73,1925-10-02,1925-10-02,1900,7,24,Lake,MS,USA
5604,Leo,Durocher,R,R,160,70,1925-10-02,1945-04-18,1905,7,27,"West Springfield",MA,USA
5605,Gil,Paulsen,R,R,190,74,1925-10-03,1925-10-03,1902,11,14,Graettinger,IA,USA
5606,Lefty,Willis,L,L,175,73,1925-10-03,1927-07-12,1905,11,4,Leetown,WV,USA
5607,Otis,Carter,R,R,175,70,1925-10-03,1926-09-26,1902,9,30,Langley,SC,USA
5608,Bunny,Hearn,L,L,160,68,1926-04-13,1929-06-25,1904,1,13,Brooklyn,NY,USA
5609,Hal,Wiltse,L,L,168,69,1926-04-13,1931-04-20,1903,8,6,"Clay City",IL,USA
5610,Joe,Kelly,L,L,180,72,1926-04-13,1928-09-25,1900,4,23,"New York",NY,USA
5611,Paul,Waner,L,L,153,68,1926-04-13,1945-04-26,1903,4,16,Harrah,OK,USA
5612,Pete,Scott,R,R,175,71,1926-04-13,1928-09-27,1897,12,21,Woodland,CA,USA
5613,Sam,Langford,L,R,180,72,1926-04-13,1928-09-21,1900,5,21,Briggs,TX,USA
5614,Tony,Lazzeri,R,R,170,71,1926-04-13,1939-06-07,1903,12,6,"San Francisco",CA,USA
5615,Tony,Welzer,R,R,160,71,1926-04-13,1927-09-21,1899,4,5,,,Germany
5616,Ty,Tyson,R,R,169,71,1926-04-13,1928-07-03,1892,6,1,Wilkes-Barre,PA,USA
5617,Walter,Christensen,L,L,156,66,1926-04-13,1927-08-04,1899,10,24,"San Francisco",CA,USA
5618,Babe,Herman,L,L,190,76,1926-04-14,1945-09-16,1903,6,26,Buffalo,NY,USA
5619,Eddie,Taylor,R,R,160,66,1926-04-14,1926-09-29,1901,11,17,Chicago,IL,USA
5620,Johnny,Werts,R,R,180,70,1926-04-14,1929-05-22,1898,4,20,Pomaria,SC,USA
5621,Nick,Cullop,R,R,200,72,1926-04-14,1931-09-27,1900,10,16,"St. Louis",MO,USA
5622,Joe,Pate,L,L,184,70,1926-04-15,1927-07-19,1892,6,6,Alice,TX,USA
5623,Stew,Bolen,L,L,180,71,1926-04-15,1932-05-16,1902,10,12,Jackson,AL,USA
5624,Augie,Johns,L,L,170,68,1926-04-16,1927-04-23,1899,9,10,"St. Louis",MO,USA
5625,Bill,Hunnefield,B,R,165,70,1926-04-17,1931-09-27,1899,1,5,Dedham,MA,USA
5626,Lee,Dunham,L,L,185,71,1926-04-17,1926-09-24,1902,6,9,Atlanta,IL,USA
5627,Pat,Veltman,R,R,175,72,1926-04-17,1934-09-30,1906,3,24,Mobile,AL,USA
5628,Ray,Moss,R,R,185,73,1926-04-17,1931-08-02,1901,12,5,Chattanooga,TN,USA
5629,Tommy,Thomas,R,R,175,70,1926-04-17,1937-09-27,1899,12,23,Baltimore,MD,USA
5630,Hal,Rhyne,R,R,163,68,1926-04-18,1933-10-01,1899,3,30,"Paso Robles",CA,USA
5631,Johnny,Butler,R,R,175,72,1926-04-18,1929-10-05,1893,3,20,"Fall River",KS,USA
5632,Myles,Thomas,R,R,170,69,1926-04-18,1930-06-21,1897,10,22,"State College",PA,USA
5633,Oscar,Melillo,R,R,150,68,1926-04-18,1937-09-18,1899,8,4,Chicago,IL,USA
5634,Joe,Buskey,R,R,160,65,1926-04-19,1926-04-28,1902,12,18,Cumberland,MD,USA
5635,Sam,Gibson,L,R,198,74,1926-04-19,1932-09-18,1899,8,5,King,NC,USA
5636,Bill,Morrell,R,R,172,72,1926-04-20,1931-08-05,1893,4,9,"Hyde Park",MA,USA
5637,Bump,Hadley,R,R,190,71,1926-04-20,1941-09-16,1904,7,5,Lynn,MA,USA
5638,Honey,Barnes,L,R,175,70,1926-04-20,1926-04-20,1900,1,31,Fulton,NY,USA
5639,George,Smith,R,R,175,73,1926-04-21,1930-09-17,1901,10,27,Louisville,KY,USA
5640,Rufus,Meadows,L,L,175,71,1926-04-23,1926-04-23,1907,8,25,"Chase City",VA,USA
5641,Ed,Baecht,R,R,195,75,1926-04-24,1937-09-03,1907,5,15,Paden,OK,USA
5642,Ernie,Nevers,R,R,205,72,1926-04-26,1928-05-04,1902,6,11,"Willow River",MN,USA
5643,Mel,Ott,L,R,170,69,1926-04-27,1947-07-11,1909,3,2,Gretna,LA,USA
5644,Joe,Cronin,R,R,180,71,1926-04-29,1945-04-19,1906,10,12,"San Francisco",CA,USA
5645,Jack,Russell,R,R,178,73,1926-05-05,1940-08-07,1905,10,24,Paris,TX,USA
5646,Guy,Lacy,R,R,170,71,1926-05-07,1926-08-17,1897,6,12,Cleveland,TN,USA
5647,Clyde,Beck,R,R,176,70,1926-05-19,1931-09-11,1900,1,6,Bassett,CA,USA
5648,Norm,Lehr,R,R,168,72,1926-05-20,1926-07-15,1901,5,28,Rochester,NY,USA
5649,Paul,Florence,B,R,185,73,1926-05-21,1926-09-24,1900,4,22,Chicago,IL,USA
5650,Johnny,Welch,L,R,184,75,1926-05-22,1936-08-26,1906,12,2,Washington,DC,USA
5651,Pryor,McBee,R,L,190,73,1926-05-22,1926-05-22,1901,6,20,Blanco,OK,USA
5652,Mul,Holland,R,R,185,76,1926-05-25,1929-07-29,1903,1,6,Franklin,VA,USA
5653,Leon,Williams,L,L,154,70,1926-05-26,1926-09-06,1905,12,2,Macon,GA,USA
5654,Andy,Cohen,R,R,155,68,1926-05-31,1929-10-05,1904,10,25,Baltimore,MD,USA
5655,Clyde,Sukeforth,L,R,155,70,1926-05-31,1945-06-07,1901,11,30,Washington,ME,USA
5656,Bill,Regan,R,R,155,70,1926-06-02,1931-06-14,1899,1,23,Pittsburgh,PA,USA
5657,Kiddo,Davis,R,R,178,71,1926-06-05,1938-05-07,1902,2,12,Bridgeport,CT,USA
5658,Bobby,Reeves,R,R,170,71,1926-06-09,1931-09-13,1904,6,24,"Hill City",TN,USA
5659,Ed,Cotter,R,R,185,72,1926-06-12,1926-08-11,1904,7,4,Hartford,CT,USA
5660,Ethan,Allen,R,R,180,73,1926-06-13,1938-06-18,1904,1,1,Cincinnati,OH,USA
5661,Joe,Connell,L,L,165,68,1926-06-15,1926-06-20,1902,1,16,Bethlehem,PA,USA
5662,Al,Smith,R,R,170,72,1926-06-18,1926-06-18,1903,12,13,Norristown,PA,USA
5663,Pete,Cote,R,R,148,66,1926-06-18,1926-06-22,1902,8,30,Cambridge,MA,USA
5664,Jim,Boyle,R,R,180,72,1926-06-20,1926-06-20,1904,1,19,Cincinnati,OH,USA
5665,Howie,Carter,R,R,154,70,1926-06-21,1926-07-31,1904,10,13,"New York",NY,USA
5666,Hal,Goldsmith,R,R,174,72,1926-06-23,1929-08-23,1898,8,18,Peconic,NY,USA
5667,Ray,Hayworth,R,R,180,72,1926-06-27,1945-06-18,1904,1,29,"High Point",NC,USA
5668,Danny,Taylor,R,R,190,70,1926-06-30,1936-07-10,1900,12,23,Lash,PA,USA
5669,Rusty,Yarnall,R,R,175,72,1926-06-30,1926-06-30,1902,10,22,Chicago,IL,USA
5670,Bill,Clowers,L,L,175,71,1926-07-20,1926-07-21,1898,8,14,"San Marcos",TX,USA
5671,Jimmy,Uchrinscko,L,R,180,72,1926-07-20,1926-07-25,1900,10,20,"West Newton",PA,USA
5672,General,Crowder,L,R,170,70,1926-07-24,1936-06-22,1899,1,11,Winston-Salem,NC,USA
5673,Dave,Barbee,R,R,178,71,1926-07-29,1932-09-25,1905,5,7,Greensboro,NC,USA
5674,Chet,Nichols,R,R,160,71,1926-07-30,1932-05-29,1897,7,3,Woonsocket,RI,USA
5675,Ned,Porter,R,R,173,72,1926-08-07,1927-05-02,1905,7,6,Apalachicola,FL,USA
5676,Sid,Womack,R,R,200,71,1926-08-15,1926-08-15,1896,10,2,Greensburg,LA,USA
5677,Willis,Hudlin,R,R,190,72,1926-08-15,1944-08-31,1906,5,23,Wagoner,OK,USA
5678,George,Stutz,R,R,150,65,1926-08-17,1926-08-28,1889,2,13,Philadelphia,PA,USA
5679,Fred,Brickell,L,R,160,67,1926-08-19,1933-05-01,1906,11,9,Saffordville,KS,USA
5680,Danny,MacFayden,R,R,170,71,1926-08-25,1943-09-13,1905,6,10,"North Truro",MA,USA
5681,Moose,Clabaugh,L,R,185,72,1926-08-30,1926-09-25,1901,11,13,Albany,MO,USA
5682,Roy,Mahaffey,R,R,180,72,1926-08-31,1936-07-28,1904,2,9,Belton,SC,USA
5683,Bob,Rice,R,R,170,70,1926-09-01,1926-09-29,1899,5,28,Philadelphia,PA,USA
5684,Frank,Sigafoos,R,R,170,69,1926-09-03,1931-05-30,1904,3,21,Easton,PA,USA
5685,Mike,Kelly,R,R,178,73,1926-09-03,1926-09-16,1902,11,9,"St. Louis",MO,USA
5686,Lefty,Taber,L,L,180,72,1926-09-04,1927-09-30,1900,1,11,"Rock Island",IL,USA
5687,Mike,Smith,L,R,170,71,1926-09-04,1926-09-20,1904,11,16,Norfolk,VA,USA
5688,Bill,Moore,L,R,170,71,1926-09-07,1927-10-01,1901,12,12,"Kansas City",MO,USA
5689,Pid,Purdy,L,R,150,66,1926-09-07,1929-09-15,1904,6,15,Beatrice,NE,USA
5690,Denny,Sothern,R,R,175,71,1926-09-10,1931-09-21,1904,1,20,Washington,DC,USA
5691,Dick,Jones,L,R,184,72,1926-09-11,1927-04-28,1902,5,22,Meadville,MS,USA
5692,Jack,Cummings,R,R,195,72,1926-09-11,1929-07-18,1904,4,1,Pittsburgh,PA,USA
5693,Les,Cox,R,R,164,72,1926-09-11,1926-09-21,1904,8,14,Junction,TX,USA
5694,Adam,Comorosky,R,R,167,70,1926-09-13,1935-09-18,1904,12,9,Swoyersville,PA,USA
5695,Dick,Attreau,L,L,160,72,1926-09-14,1927-09-28,1897,4,8,Chicago,IL,USA
5696,Joe,Poetz,R,R,175,70,1926-09-14,1926-09-22,1900,6,22,"St. Louis",MO,USA
5697,Pete,Rambo,R,R,150,69,1926-09-16,1926-09-16,1906,11,1,Thorofare,NJ,USA
5698,Russ,Ennis,R,R,160,71,1926-09-19,1926-09-19,1897,3,10,Superior,WI,USA
5699,Jim,Hamby,R,R,170,72,1926-09-20,1927-05-27,1897,7,29,Wilkesboro,NC,USA
5700,Rudy,Kneisch,R,L,175,70,1926-09-21,1926-09-26,1899,4,10,Baltimore,MD,USA
5701,Frank,Loftus,R,R,190,69,1926-09-26,1926-09-26,1898,3,10,Scranton,PA,USA
5702,Joe,Graves,R,R,160,70,1926-09-26,1926-09-26,1906,2,26,Marblehead,MA,USA
5703,Scottie,Slayback,R,R,165,68,1926-09-26,1926-09-26,1901,10,5,Paducah,KY,USA
5704,Bob,Way,R,R,168,70,1927-04-12,1927-05-15,1906,4,2,Emlenton,PA,USA
5705,Dud,Branom,L,L,190,73,1927-04-12,1927-05-31,1897,11,30,"Sulphur Springs",TX,USA
5706,Jay,Partridge,L,R,160,71,1927-04-12,1928-07-21,1902,11,15,Mountville,GA,USA
5707,Joe,Boley,R,R,170,71,1927-04-12,1932-06-29,1896,7,19,"Mahanoy City",PA,USA
5708,Lloyd,Waner,L,R,150,69,1927-04-12,1945-09-16,1906,3,16,Harrah,OK,USA
5709,Randy,Moore,L,R,185,72,1927-04-12,1937-09-07,1906,6,21,Naples,TX,USA
5710,Charlie,Barnabe,L,L,164,71,1927-04-14,1928-05-13,1900,6,12,"Russell Gulch",CO,USA
5711,Julie,Wera,R,R,164,68,1927-04-14,1929-10-06,1902,2,9,Winona,MN,USA
5712,Wilcy,Moore,R,R,195,72,1927-04-14,1933-09-28,1897,5,20,Bonita,TX,USA
5713,Andy,Reese,R,R,180,71,1927-04-15,1930-08-27,1904,2,7,Tupelo,MS,USA
5714,Fred,Schulte,R,R,183,73,1927-04-15,1937-10-03,1901,1,13,Belvidere,IL,USA
5715,Art,Mills,R,R,155,70,1927-04-16,1928-06-11,1903,3,2,Utica,NY,USA
5716,Bobby,Burke,L,L,150,72,1927-04-16,1937-05-04,1907,1,23,Joliet,IL,USA
5717,Herman,Layne,R,R,165,71,1927-04-16,1927-05-31,1901,2,13,"New Haven",WV,USA
5718,Ollie,Tucker,L,R,180,71,1927-04-17,1928-09-30,1902,1,27,Radiant,VA,USA
5719,Otis,Miller,R,R,168,70,1927-04-17,1932-04-29,1901,2,2,Belleville,IL,USA
5720,Red,Rollings,L,R,167,71,1927-04-17,1930-09-11,1904,3,31,Mobile,AL,USA
5721,Sam,West,L,L,165,71,1927-04-17,1942-09-24,1904,10,5,Longview,TX,USA
5722,Art,Ruble,L,R,168,70,1927-04-18,1934-05-13,1903,3,11,Knoxville,TN,USA
5723,Dick,Spalding,L,L,185,71,1927-04-18,1928-07-12,1893,10,13,Philadelphia,PA,USA
5724,George,Gerken,R,R,175,71,1927-04-19,1928-09-30,1903,7,28,Chicago,IL,USA
5725,Don,Hankins,R,R,183,75,1927-04-23,1927-09-03,1902,2,9,Pendleton,IN,USA
5726,Hap,Collard,R,R,170,72,1927-04-23,1930-09-22,1898,8,29,Williams,AZ,USA
5727,Horace,Lisenbee,R,R,170,71,1927-04-23,1945-09-07,1898,9,23,Clarksville,TN,USA
5728,Merv,Shea,R,R,175,71,1927-04-23,1944-08-19,1900,9,5,"San Francisco",CA,USA
5729,Woody,English,R,R,155,70,1927-04-26,1938-07-01,1906,3,2,Fredonia,OH,USA
5730,Mose,Eggert,R,R,160,69,1927-04-27,1927-10-01,1902,1,29,Rochester,NY,USA
5731,Dick,Coffman,R,R,195,74,1927-04-28,1945-06-28,1906,12,18,Veto,AL,USA
5732,Harry,"O'Donnell",R,R,175,68,1927-04-30,1927-09-30,1894,4,2,Philadelphia,PA,USA
5733,Jim,Walkup,R,L,150,68,1927-04-30,1927-05-16,1895,11,3,Havana,AR,USA
5734,Wally,Roettger,R,R,190,73,1927-05-01,1934-09-30,1902,8,28,"St. Louis",MO,USA
5735,Bill,Clarkson,R,R,160,71,1927-05-02,1929-10-06,1898,9,27,Portsmouth,VA,USA
5736,Johnny,Burnett,L,R,175,71,1927-05-07,1935-09-29,1904,11,1,Bartow,FL,USA
5737,Herb,Bradley,R,R,170,72,1927-05-09,1929-07-15,1903,1,3,Agenda,KS,USA
5738,John,Wilson,R,R,164,74,1927-05-09,1928-04-24,1903,4,25,"Coal City",AL,USA
5739,Carlisle,Littlejohn,R,R,175,70,1927-05-11,1928-06-23,1901,10,6,Irene,TX,USA
5740,Harry,Wilke,R,R,171,70,1927-05-12,1927-05-14,1900,12,14,Cincinnati,OH,USA
5741,Cleo,Carlyle,L,R,170,72,1927-05-16,1927-10-01,1902,9,7,Fairburn,GA,USA
5742,Joe,Brown,R,R,176,72,1927-05-17,1927-05-17,1900,7,3,"Little Rock",AR,USA
5743,Henry,Baldwin,R,R,180,71,1927-05-22,1927-06-03,1894,6,13,"Chadds Ford",PA,USA
5744,Carroll,Yerkes,R,L,180,71,1927-05-31,1933-04-25,1903,6,13,McSherrystown,PA,USA
5745,Red,Smith,R,R,185,70,1927-05-31,1927-05-31,1904,5,18,Brokaw,WI,USA
5746,Overton,Tremper,R,R,163,70,1927-06-16,1928-09-30,1906,3,22,Brooklyn,NY,USA
5747,John,Freeman,R,R,160,68,1927-06-17,1927-07-04,1901,1,24,Boston,MA,USA
5748,Arlie,Tarbert,R,R,160,72,1927-06-18,1928-05-01,1904,9,10,Cleveland,OH,USA
5749,Hank,Grampp,R,R,185,73,1927-06-21,1929-10-06,1903,9,28,"New York",NY,USA
5750,Marty,Karow,R,R,170,70,1927-06-21,1927-07-04,1904,7,18,Braddock,PA,USA
5751,Tommy,Sewell,L,R,155,67,1927-06-21,1927-06-21,1906,4,16,Titus,AL,USA
5752,Jack,White,B,R,150,67,1927-06-22,1928-04-19,1905,8,31,"New York",NY,USA
5753,Neal,Baker,R,R,175,73,1927-06-26,1927-07-26,1904,4,30,"La Porte",TX,USA
5754,Fay,Thomas,R,R,195,74,1927-06-27,1935-09-29,1903,10,10,Holyrood,KS,USA
5755,Hank,Boney,L,R,176,71,1927-06-28,1927-07-13,1903,10,28,Wallace,NC,USA
5756,Dinny,McNamara,L,R,165,69,1927-07-02,1928-05-30,1905,9,16,Lexington,MA,USA
5757,Les,Sweetland,R,L,155,71,1927-07-04,1931-09-21,1901,8,15,"St. Ignace",MI,USA
5758,Heinie,Schuble,R,R,152,69,1927-07-08,1936-05-15,1906,11,1,Houston,TX,USA
5759,Luke,Urban,R,R,168,68,1927-07-19,1928-06-21,1887,3,22,"Fall River",MA,USA
5760,Sid,Graves,R,R,170,72,1927-07-23,1927-08-05,1901,11,30,Marblehead,MA,USA
5761,Buzz,Wetzel,R,R,162,73,1927-07-25,1927-07-28,1894,8,25,Jay,OK,USA
5762,Ike,Powers,R,R,188,72,1927-07-26,1928-09-03,1906,3,13,Hancock,MD,USA
5763,Jim,Beckman,R,R,172,70,1927-07-27,1928-09-22,1905,3,1,Cincinnati,OH,USA
5764,Ray,Wolf,R,R,175,71,1927-07-27,1927-07-27,1904,7,15,Chicago,IL,USA
5765,Jackie,Hayes,R,R,165,70,1927-08-05,1940-08-29,1906,7,19,Clanton,AL,USA
5766,Lefty,Atkinson,L,L,149,66,1927-08-05,1927-08-05,1904,6,4,Chicago,IL,USA
5767,Ray,Flaskamper,B,R,140,67,1927-08-16,1927-10-02,1901,10,31,"St. Louis",MO,USA
5768,Bob,Cremins,L,L,178,71,1927-08-17,1927-09-17,1906,2,15,"Pelham Manor",NY,USA
5769,Earl,Clark,R,R,160,70,1927-08-17,1934-05-25,1907,11,6,Washington,DC,USA
5770,Josh,Billings,R,R,180,71,1927-08-17,1929-08-05,1907,9,27,"New York",NY,USA
5771,Ben,Cantwell,R,R,168,73,1927-08-19,1937-09-23,1902,4,13,Milan,TN,USA
